ValidName,Synonyms
Troides meridionalis,"Troides tarunggarensis, Ornithoptera odileae"
Troides minos,"Ornithoptera nomis, Troides pasifae, Papilio minos"
Troides miranda hayamii,Troides hayamii
Troides miranda neomiranda,"Troides annae, Ornithoptera zacheri, Ornithoptera neomiranda"
Troides miranda,"Papilio miranda, Troides nigrosuffusa"
Troides oblongomaculatus bandensis,"Troides bandensis, Troides selene"
Troides oblongomaculatus bouruensis,"Troides nagai, Troides mangolensis, Papilio argidia, Papilio capnodia, Troides ohzui, Ornithoptera bouruensis"
Troides oblongomaculatus cyclop,Troides cyclop
Troides oblongomaculatus hanno,"Troides hanno, Papilio diana, Papilio lucina"
Troides oblongomaculatus papuensis,"Troides biroi, Pompeoptera grosesmithi, Papilio sordidus, Ornithoptera cellanigra, Ornithoptera carolus, Papilio rubra, Ornithoptera irregularis, Ornithoptera papuana, Troides ilonae, Pompeoptera melpomona, Troides jennyae, Troides obsoleta, Ornithoptera papuensis"
Troides oblongomaculatus thestius,"Troides bernhardus, Troides aetolis, Ornithoptera thestius, Troides minahassae"
Troides oblongomaculatus,"Troides melania, Troides ohzuoides, Ornithoptera osiris, Papilio hellen, Papilio oblongomaculatus, Troides asartia, Papilio goezei, Troides linos, Troides melanides, Troides nigropuncta, Troides olympicuss, Troides rubescini, Troides rusty, Papilio amphimedon"
Troides paradisea arfakensis,"Ornithoptera aurifluoides, Ornithoptera orientalis, Ornithoptera oculisaureus, Papilio arfakensis"
Troides paradisea borchi,"Ornithoptera borchi, Ornithoptera auriflua"
Troides paradisea chrysanthemum,"Ornithoptera ornatum, Ornithoptera sabinae, Ornithoptera chrysanthemum"
Troides paradisea demeter,Ornithoptera demeter
Troides paradisea detanii,"Ornithoptera noctis, Ornithoptera noirae, Ornithoptera detanii"
Troides paradisea flavescens,Troides flavescens
Troides paradisea galatea,Ornithoptera galatea
Troides paradisea kotaseaoe,Ornithoptera kotaseaoe
Troides paradisea occidentalis,"Ornithoptera occidentalis, Ornithoptera rumbucheri"
Troides paradisea,"Ornithoptera paradisea, Papilio caliginosa, Ornithoptera schoenbergi, Ornithoptera wondiboiensis, Ornithoptera defayettei, Ornithoptera pseudomeridionalis"
Troides plato,"Papilio chitonia, Papilio nychonia, Ornithoptera delormei, Ornithoptera plato"
Troides prattorum,Papilio prattorum
Troides priamus admiralitatis,"Ornithoptera moinieri, Papilio admiralitatis"
Troides priamus arruana,"Ornithoptera eumaeus, Troides chrysophila, Ornithoptera caramalei, Ornithoptera viridocellularis, Ornithoptera arruana"
Troides priamus boisduvalii,Ornithoptera boisduvalii
Troides priamus bornemanni,"Papilio bornemanni, Ornithoptera viridilineata"
Troides priamus caelestis,"Ornithoptera flavopunctata, Troides caelestis"
Troides priamus gebeensis,"Ornithoptera gebeensis, Ornithoptera latimarginata"
Troides priamus hecuba,"Ornithoptera arlequinea, Ornithoptera immaculata, Ornithoptera inaureomaculata, Ornithoptera kibleri, Ornithoptera transiens, Papilio insolationecyanea, Ornithoptera cyanoides, Ornithoptera tayandensis, Ornithoptera femineus, Ornithoptera margaretae, Ornithoptera hecuba, Ornithoptera albireo"
Troides priamus impensus,Ornithoptera impensus
Troides priamus intermedius,Ornithoptera intermedius
Troides priamus kasandra,Ornithoptera kasandra
Troides priamus macalpinei,Ornithoptera macalpinei
Troides priamus miokensis,"Ornithoptera icarus, Ornithoptera miokensis"
Troides priamus poseidon,"Ornithoptera poseidon, Ornithoptera valentina, Ornithoptera ketchupabdominalis, Ornithoptera summanus, Papilio archideus, Papilio pronomus, Troides boreas, Ornithoptera aurago, Ornithoptera demophanes, Ornithoptera eudamidas, Ornithoptera eurysaces, Ornithoptera lavata, Ornithoptera nivalis, Papilio kirschi, Papilio albiplaga, Papilio priameius, Papilio aureopunctata, Papilio nigropunctata, Troides brunneus, Ornithoptera aureus, Ornithoptera fuscuocellus, Ornithoptera multicolorei, Ornithoptera radialei, Ornithoptera radians, Ornithoptera sterrensis, Ornithoptera beigeli, Ornithoptera melaina, Ornithoptera muckai, Ornithoptera michikoae, Ornithoptera titanoides, Ornithoptera akakeoides, Ornithoptera pseudotroides, Ornithoptera medeia, Papilio cronius, Papilio pegasus"
Troides priamus teucrus,"Ornithoptera barbarossa, Ornithoptera aurora, Papilio teucrus"
Troides priamus urvillianus,"Ornithoptera fuscapallida, Ornithoptera radiata, Papilio burkei, Papilio urvillianus"
Troides priamus wituensis,Ornithoptera wituensis
Troides priamus,"Ornithoptera addenda, Ornithoptera divina, Ornithoptera aureoradians, Ornithoptera detonnancouri, Ornithoptera viridocoronae, Ornithoptera viridodentis, Ornithoptera sclavoi, Ornithoptera fasciata, Ornithoptera harukensis, Ornithoptera pseudobrunneus, Papilio panthous, Papilio priamus"
Troides rhadamantus plateni,"Ornithoptera plateni, Troides flavoradiata"
Troides rhadamantus,"Papilio belzanor, Papilio hesiodus, Ornithoptera rhadamantus, Troides bazilanicus, Papilio nephereus, Ornithoptera rhadamanthus"
Troides richmondia,"Amphrisius australis, Papilio richmondia, Ornithoptera reducta"
Troides riedeli,Ornithoptera riedeli
Troides ritsemae paeninsulae,Papilio paeninsulae
Troides ritsemae sumatrana,Ornithoptera sumatrana
Troides ritsemae,"Pompeoptera cuneatus, Ornithoptera tantalus, Ornithoptera cuneifera, Troides roepkei, Papilio ritsemae"
Troides rothschildi,"Ornithoptera fabricei, Ornithoptera mariejeanneae, Ornithoptera kenricki, Ornithoptera kirschoides, Ornithoptera imperialis, Ornithoptera illustris, Ornithoptera sublustris, Ornithoptera oceanus, Ornithoptera rothschildi"
Troides staudingeri ariadne,Troides ariadne
Troides staudingeri heptanonius,Ornithoptera heptanonius
Troides staudingeri ikarus,Troides ikarus
Troides staudingeri iris,Ornithoptera iris
Troides staudingeri rikyu,Troides rikyu
Troides staudingeri,Ornithoptera staudingeri
Troides tithonus cytherea,Ornithoptera cytherea
Troides tithonus dominici,"Ornithoptera dominici, Ornithoptera erwini"
Troides tithonus elisabethae,Ornithoptera elisabethae
Troides tithonus misoolana,Ornithoptera misoolana
Troides tithonus misresiana,"Ornithoptera lowi, Ornithoptera minima, Ornithoptera crepusculum, Ornithoptera rubicunda, Papilio misresiana, Ornithoptera ichwani"
Troides tithonus waigeuensis,Troides waigeuensis
Troides tithonus,"Ornithoptera makikoae, Ornithoptera sineaurum, Ornithoptera wasiorensis, Ornithoptera gaucheti, Ornithoptera nicolasi, Ornithoptera deslislei, Papilio prominens, Ornithoptera tithonus"
Troides vandepolli honrathiana,Ornithoptera honrathiana
Troides vandepolli parrottei,Troides parrottei
Troides vandepolli,Papilio vandepolli
Troides victoriae epiphanes,Ornithoptera epiphanes
Troides victoriae isabellae,Papilio isabellae
Troides victoriae reginae,"Ornithoptera maramasikensis, Ornithoptera polychroma, Ornithoptera rubesco, Ornithoptera reginae"
Troides victoriae regis,"Troides ponceleti, Ornithoptera gabrieli, Ornithoptera alexisi, Ornithoptera brabanti, Ornithoptera buinensis, Ornithoptera lanieli, Ornithoptera sanguinea, Papilio flammea, Papilio ponceletanus, Ornithoptera resplendens, Troides regis, Troides infanta, Ornithoptera archeri, Ornithoptera niclasi"
Troides victoriae rubianus,"Ornithoptera noellann, Ornithoptera gisoensis, Troides rubianus"
Troides victoriae,"Ornithoptera brossardi, Ornithoptera gousseyi, Ornithoptera belai, Ornithoptera julesi, Papilio victoriae"
Zerynthia caucasica,"Zerynthia abanti, Zerynthia cachetica, Zerynthia completa, Zerynthia divisa, Zerynthia melaina, Zerynthia nigripuncta, Zerynthia punctata, Zerynthia tkatshukovi, Zerynthia spoliata, Thais obscurior, Thais caucasica"
Zerynthia cerisyi dalmacijae,Allancastria dalmacijae
Zerynthia cerisyi ferdinandi,Zerynthia ferdinandi
Zerynthia cerisyi huberi,Allancastria huberi
Zerynthia cerisyi mihljevici,Zerynthia mihljevici
Zerynthia cerisyi,"Allancastria goeksui, Allancastria kocaki, Allancastria koroneii, Zerynthia caeca, Allancastria rubrocatenaria, Zerynthia cypria, Zerynthia speciosa, Zerynthia destrigata, Allancastria sami, Thais cerisyi, Zerynthia margarethae, Thais albidior, Thais ochracea, Thais pallidior, Allancastria schulzi, Thais martini, Allancastria mysiensis"
Zerynthia cretica,Thais cretica
Zerynthia deyrollei,"Allancastria grotei, Zerynthia separata, Zerynthia charis, Zerynthia deflexa, Zerynthia subflava, Thais parnassoides, Allancastria eisneri, Tha?s deyrollei, Thais flavomaculata, Allancastria lycaoniae, Thais deyrollei  , Allancastria deyrolei"
Zerynthia louristana,"Thais louristana, Zerynthia hermanni, Allancastria boyrahmadiensis"
Zerynthia polyxena aemiliae,Thais aemiliae
Zerynthia polyxena decastroi,Zerynthia decastroi
Zerynthia polyxena gracilis,"Zerynthia gracilis, Zerynthia tristis, Zerynthia macedonia"
Zerynthia polyxena meta,"Thais flavomacula, Thais inornata, Thais rufescens, Zernythia cassandraclara, Zerynthia deminuta, Zerynthia microcreusa, Thais polymnia, Zerynthia reverdini, Zerynthia demnosia, Zerynthia puyseguri, Papilio cassandra, Thais meta, Thais creusa"
Zerynthia polyxena thesto,Zerynthia thesto
Zerynthia polyxena,"Tha?s bipunctata, Zerynthia muelleri, Papilio hypermnestra, Thais linda, Zerynthia emiliae, Zerynthia padana, Zerynthia silana, Zerynthia ballettoi, Zerynthia carmenae, Zerynthia cecchini, Zerynthia paliki, Zerynthia villai, Zerynthia diabolica, Papilio alba, Tha?s inornata, Zerynthia basisnigrata, Thais bellaformis, Thais latevittata, Thais nemorensis, Thais kreusa, Thais nigromaculata, Thais reducta, Zerynthia confluens, Zerynthia demaculata, Zerynthia lativittata, Zerynthia marpha, Zerynthia nora, Zerynthia subalbida, Zerynthia thusnelda, Zerynthia xenia, Zerynthia aegidii, Zerynthia michaelis, Zerynthia patrizii, Zerynthia latiaris, Papilio hypsipyle, Zerynthia nigra, Zerynthia sontae, Thais taygetana, Thais chrysochroma, Thais albanica, Thais springeri, Zerynthia thomasi, Zerynthia neurochola, Zerynthia vitrina, Zerynthia linnea, Zerynthia petrii, Zerynthia vipsania, Thais albina, Thais bella, Thais phantasma, Thais meridionalis, Thais rubra, Thais tripunctata, Thais unimaculata, Thais skalae, Thais fasciata, Zerynthia bryki, Zerynthia quincunx, Zerynthia bosniensis, Zerynthia idaensis, Papilio creusa"
Zerynthia rumina africana,"Zerynthia posteriorrubrosubmarginalis, Thais ornatior, Thais ornatissima, Thais mackeri, Thais irregularis, Thais nebulosa, Thais nigricans, Thais lucasi, Thais mauretanica, Zerynthia africana, Zerynthia distorta"
Zerynthia rumina tarrieri,Zerynthia tarrieri
Zerynthia rumina,"Thais honoratii, Thais poujadei, Zerynthia rociae, Zerynthia whaleskae, Zerynthia amarae, Zerynthia pseudoalicea, Thais daluisensis, Zerynthia branesae, Zerynthia catalonica, Zerinthia semitristis, Thais canteneri, Thais andalusica, Zerynthia albescens, Thais minima, Zerynthia nana, Zerynthia petheri, Zerynthia mendesi, Zerynthia derubrescens, Zerynthia xanthe, Zerynthia castiliana, Zerynthia andalusiana, Zerynthia armasi, Zerynthia josephignatius, Zerynthia valdesi, Thais hartmanni, Thais honnoratii, Papilio medesicaste, Thais castiliana, Zerynthia lusitanica, Zerynthia rubristriga, Thais henrietta, Zerynthia cantabricae, Thais tristis, Zerynthia peninsulae, Zerynthia vareai, Zerynthia bitractus, Zerynthia interrogata, Zerynthia septempupillata, Zerynthia tripartita, Zerynthia insulaecordis, Zerynthia isabelae, Zerynthia diminuta, Zerynthia noemi, Zerynthia transcastiliana, Zerynthia costapeninsulae, Zerynthia adornada, Zerynthia cerrada, Zerynthia silvai, Thais alicea, Thais paucipunctata, Zerynthia canteneri, Papilio rumina, Zerynthia aperta, Zerynthia unipunctata"
Abaeis nicippe,"Eurema dammersi, Terias flava, Eurema pallens, Eurema callae, Papilio nicippe"
Abaeis nicippiformis,Eurema nicippiformis
Afrodryas leda,"Eronia flava, Eronia gomensis, Afrodryas clytaemnestra, Eronia punctata, Eronia cygnophila, Eronia pupillata, Eronia trimenii, Eronia inargyrata, Dryas wahlbergi, Anthocharis tekoukoule, Dryas leda, Eronia trimeni"
Anteos clorinde,"Anteos atromarginatus, Colias godarti, Colias clorinde, Rhodocera nivifera, Amynthia swainsonia"
Anteos maerula,"Gonepteryx flava, Rhodocera gueneeana, Rhodocera lacordairei, Papilio maerula, Rhodocera maerula  , Amynthia maerula"
Anteos menippe,"Colias leachiana, Gonepteryx calypso, Gonepteryx thetis, Mancipium menippe, Rhodocera metioche"
Anthocharis bambusarum,Anthocharis extensa
Anthocharis belia androgyne,Anthocharis androgyne
Anthocharis belia,"Anthocharis douei, Anthocharis douaei, Anthocharis houzeaui, Anthocharis rosea, Euchloe intermedia, Euchloe cardabelia, Euchloe gynomorphica, Papilio eupheno, Papilio belia, Euchloe nigritior"
Anthocharis cardamines alexandra,"Euchloe alexandra, Anthocharis orientalis"
Anthocharis cardamines callisto,Anthocharis callisto
Anthocharis cardamines constibackii,Anthocharis constibackii
Anthocharis cardamines hayashii,Anthocharis hayashii
Anthocharis cardamines hesperidies,"Euchloe hesperidies, Anthocharis salmonea, Euchloe britannica"
Anthocharis cardamines isshikii,Anthocaris isshikii
Anthocharis cardamines kobayashii,Anthocaris kobayashii
Anthocharis cardamines koreana,Anthocaris koreana
Anthocharis cardamines phoenissa,"Anthocharis ondrii, Euchloe umbrosa, Anthocharis phoenissa"
Anthocharis cardamines progressa,"Anthocharis sajana, Antocharis sibirica, Euchloe progressa, Anthocharis bambusaroides"
Anthocharis cardamines septentrionalis,Antocharis septentrionalis
Anthocharis cardamines sheldoni,"Euchloe volgensis, Euchloe sheldoni"
Anthocharis cardamines speciosa,Anthocharis speciosa
Anthocharis cardamines turritiferens,Euchloe turritiferens
Anthocharis cardamines turritis,"Anthocharis parvipuncta, Euchloe meridionalis, Pontia turritis"
Anthocharis cardamines,"Anthocharis cardaminoides, Anthocharis flavidovirescens, Euchloe maculapunctata, Euchloe subtusflavovenata, Euchloe reignaci, Anthocharis radians, Anthocharis minora, Anthocharis immaculata, Anthocharis ochrea, Euchloe montivaga, Anthocharis nigricosta, Anthocharis catalonica, Euchloe citronea, Anthocharis androgyna, Anthocharis arsenoides, Antocharis perflavida, Anthocharis luteola, Anthocharis marginemaculata, Anthocharis umbratilis, Euchloe ochracea, Euchloe deaurata, Anthocharis cinerea, Euchloe major, Anthocharis dispila, Euchloe sulfureovenata, Euchloe marginata, Euchloe caulosticta, Euchloe ochrata, Euchloe williamsi, Anthocharis flavoradiata, Euchloe antiquincunx, Euchloe lutea, Anthocharis femininus, Euchloe aureoflavescens, Euchloe minor, Euchloe hellas, Anthocharis nigrocellularis, Anthocharis sassafrana, Anthocharis flavescens, Anthocharis crocea, Anthocaris lasthenia, Anthocharis discocellularis, Anthocharis costaenigrata, Anthocharis bimaculata, Anthocharis buschmanni, Anthocharis transvestita, Anthocharis quadripunctata, Anthocharis nigroconjuncta, Anthocharis subflavopicta, Anthocharis bilineata, Anthocharis pulverulenta, Anthocharis crassipuncta, Anthocaris striata, Anthocharis ampla, Anthocharis hybridophana, Anthocharis divisa, Anthocharis alberti, Anthocharis minor, Orthocaris reignaci, Euchloe reductus, Euchloe decolorata, Anthocharis decolorata, Anthocharis sagittata, Anthocharis subtustriata, Euchloe proosti, Anthocharis schepdaeli, Euchloe kutukovi, Euchloe commaculata, Euchloe detersa, Euchloe orientalis, Euchloe sajana, Euchloe graeca, Euchloe andromorpha, Euchloe sulfuratus, Papilio cardamines, Euchloe pupillata, Anthocaris lineata, Euchloe caulotosticta, Euchloe flava, Euchloe hibernica, Euchloe radiata, Euchloe flavus, Euchloe luteus, Euchloe saxonia"
Anthocharis carolinae,
Anthocharis cethura bajacalifornica,Anthocharis bajacalifornica
Anthocharis cethura catalina,Anthocharis catalina
Anthocharis cethura hadromarmorata,Anthocharis hadromarmorata
Anthocharis cethura mojavensis,Anthocharis mojavensis
Anthocharis cethura morrisoni,Anthocharis morrisoni
Anthocharis cethura pima,Anthocharis pima
Anthocharis cethura,"Anthocharis angelina, Anthocharis caliente, Anthocharis deserti, Anthocaris cooperii"
Anthocharis damone eunomia,"Anthocharis steinelti, Anthocharis fickleri, Anthocharis pallida, Anthocharis hollaenderi, Anthocharis flavoapicata, Pontia eunomia"
Anthocharis damone karbalayei,Anthocharis karbalayei
Anthocharis damone,"Anthocharis damolasthenia, Anthocaris limbata, Anthocharis privimacula, Euchloe syra"
Anthocharis euphenoides alpium,Anthocharis alpium
Anthocharis euphenoides dalessandroi,Anthocaris dalessandroi
Anthocharis euphenoides italorum,Anthocharis italorum
Anthocharis euphenoides,"Anthocharis apicalisobscurata, Anthochaaris apicalissplendida, Anthocaris apicalissuffusa, Anthocaris minor, Euchloe limbata, Anthocharis parvisignata, Euchloe andalusica, Euchloe impunctata, Anthocaris minima, Euchloe calleuphenia, Anthocharis vernetensis, Anthocharis hyalina, Anthocharis lasthenioides, Anthocharis obscurata, Anthocharis calzadillai, Euchloe lecithosa, Euchloe cardaphenoides, Anthocharis calzadillae"
Anthocharis gruneri armeniaca,"Anthocharis armeniaca, Anthocharis decolor, Anthocharis tkatshukovi, Anthocharis homogena"
Anthocharis gruneri eros,Anthocharis eros
Anthocharis gruneri fereiduni,Anthocharis fereiduni
Anthocharis gruneri,"Anthocharis diluta, Anthocaris gruneri, Anthocharis parnassia, Pontia grunerii, Euchloe macedonica"
Anthocharis julia alaskensis,Anthocharis alaskensis
Anthocharis julia browningi,Anthocharis browningi
Anthocharis julia columbia,Anthocharis columbia
Anthocharis julia flora,Anthocharis flora
Anthocharis julia sempervirens,Anthocharis sempervirens
Anthocharis julia stella,Anthocharis stella
Anthocharis julia,Anthocaris julia
Anthocharis lanceolata australis,Synchloe australis
Anthocharis lanceolata desertolimbus,Anthocharis desertolimbus
Anthocharis lanceolata,Anthocaris edwardsii
Anthocharis limonea,"Anthocharis ellena, Euchloe limonea"
Anthocharis midea annickae,Anthocharis annickae
Anthocharis midea texana,Anthocharis texana
Anthocharis midea,"Pieris lherminieri, Anthocharis flavida, Papilio genutia, Mancipium midea"
Anthocharis monastiriensis,
Anthocharis sara colorado,Anthocharis colorado
Anthocharis sara coriander,Anthocharis coriande
Anthocharis sara gunderi,Anthocharis gunderi
Anthocharis sara inghami,"Anthocharis duncani, Anthocharis inghami"
Anthocharis sara pseudothoosa,Anthocharis pseudothoosa
Anthocharis sara sulfuris,Anthocharis sulfuris
Anthocharis sara thoosa,Synchloe thoosa
Anthocharis sara,"Anthocharis wrighti, Anthocharis dammersi, Anthocharis corcorani, Anthocharis mollis, Anthocharis sternitzkyi, Anthocharis broweri, Anthocharis flavicoloris, Anthocaris reakirtii"
Anthocharis scolymus bieti,"Anthocharis bieti, Anthocharis decorata"
Anthocharis scolymus mandschurica,Midea mandschurica
Anthocharis scolymus nanjingensis,Anthocharis nanjingensis
Anthocharis scolymus qiani,Anthocharis qiani
Anthocharis scolymus tsangpoana,"Anthocharis imacuulata, Euchloe tsangpoana"
Anthocharis scolymus,"Anthocharis onoi, Falcapica discalis, Midea virgo, Anthocharis thunbergii, Midea umbratilis"
Anthocharis thibetana taipaichana,Euchloe taipaichana
Anthocharis thibetana,
Aoa affinis,"Pieris affinis, Huphina affinis  , Cepora affinis"
Aphrissa boisduvalii,"Aphrissa stalba, Aphrissa butleri, Callidryas boisduvalii, Phoebis boisduvalii"
Aphrissa fluminensis,"Catopsilia etiolata, Catopsilia fluminensis, Phoebis discoflava, Aphrissa palleola"
Aphrissa godartiana hartonia,Callidryas hartonia
Aphrissa godartiana,"Colias godartiana, Phoebis godartiana"
Aphrissa neleis,"Aphrissa poeyae, Callidryas neleis"
Aphrissa orbis browni,Phoebis browni
Aphrissa orbis,"Callidryas orbis, Phoebis orbis"
Aphrissa schausi,"Aphrissa subtermaculata, Aphrissa impunctata, Aphrissa candens, Aphrissa concolor, Catopsilia schausi"
Aphrissa statira cubana,Aphrissa cubana
Aphrissa statira floridensis,Catopsilia floridensis
Aphrissa statira hispaniolae,Phoebis hispaniolae
Aphrissa statira,"Catopsilia pseudomas, Colias evadne, Aphrissa inesa, Phoebis naranja, Callidryas jada, Papilio statira, Phoebis statira"
Aphrissa wallacei,"Aphrissa isanthe, Callidryas jaresia, Callidryas wallacei"
Aporia acraea koiwayai,Aporia koiwayai
Aporia acraea wolongensis,Aporia wolongensis
Aporia acraea,"Pieris acraea, Metaporia funkei"
Aporia agathon ariaca,Metaporia ariaca
Aporia agathon bifurcata,Aporia bifurcata
Aporia agathon caphusa,Metaporia caphusa
Aporia agathon moltrechti,"Delias taiwana, Pieris moltrechti, Betaporia nigriscens"
Aporia agathon omotoi,Aporia omotoi
Aporia agathon phryxe,Pieris phryxe
Aporia agathon sapaensis,Aporia sapaensis
Aporia agathon,Pieris agathon
Aporia bernardi yunnanica,Aporia yunnanica
Aporia bernardi,Aporia extrema
Aporia bieti gregoryi,Aporia gregoryi
Aporia bieti lihsieni,Aporia lihsieni
Aporia bieti transiens,Aporia transiens
Aporia bieti xizangensis,Aporia xizangensis
Aporia bieti,"Aporia magna, Aporia flavescens, Pieris fumosa, Pieris sulphurea, Pieris bieti, Pieris oberthuri"
Aporia crataegi adherbal,"Pieris niphonica, Aporia adherbal"
Aporia crataegi atomosa,Pieris atomosa
Aporia crataegi augusta,Aporia augusta
Aporia crataegi augustior,Aporia augustior
Aporia crataegi basanius,Aporia basanius
Aporia crataegi diluta,Pieris diluta
Aporia crataegi gobiensis,Aporia gobiensis
Aporia crataegi hyalina,"Aporia hyalina, Aporia herodias, Pieris meridionalis"
Aporia crataegi iranica,Aporia iranica
Aporia crataegi karavajevi,"Leuconea alepica, Aporia karavajevi"
Aporia crataegi mauritanica,Aporia mauritanica
Aporia crataegi pazukii,Aporia pazukii
Aporia crataegi pellucida,"Aporia pellucida, Aporia sheljuzhkoi"
Aporia crataegi rhodinea,Aporia rhodinea
Aporia crataegi rotunda,Aporia rotunda
Aporia crataegi sachalinensis,Aporia sachalinensis
Aporia crataegi shugnana,Aporia shugnana
Aporia crataegi tianshanica,"Aporia tianschanica, Aporia naryna, Pieris centralasiae"
Aporia crataegi transitoria,"Aporia transitoria, Futuronerva absurda, Aporia nonconspersa"
Aporia crataegi zabulensis,Aporia zabulensis
Aporia crataegi,"Aporia banghaasi, Papilio nigronervosus, Aporia hebomoiina, Aporia rutae, Aporia flava, Aporia lunulata, Aporia marginata, Aporia melana, Aporia suffusa, Aporia ussurica, Aporia sordida, Aporia infraochreata, Aporia koyi, Aporia bigae, Aporia enderleini, Aporia grotei, Aporia hoefnageli, Aporia homogryphus, Aporia schawerdae, Aporia szulinszkyi, Aporia atricolor, Aporia binervula, Aporia fert, Aporia minima, Aporia meinhardi, Aporia colona, Aporia asiatica, Pieris minor, Pieris pseudohippia, Pieris sajana, Pieris sibirica, Aporia flavea, Aporia usugumo, Aporia karschi"
Aporia delavayi dayiensis,Aporia dayiensis
Aporia delavayi minschani,Aporia minschani
Aporia delavayi,"Aporia candida, Pieris delavayi, Aporia nana"
Aporia genestieri genestieroides,Aporia genestieroides
Aporia genestieri insularis,"Aporia insularis, Aporia taiwana"
Aporia genestieri pseudopotanini,Aporia pseudopotanini
Aporia genestieri,Pieris genestieri
Aporia giacomazzoi,
Aporia gigantea cheni,Aporia cheni
Aporia gigantea fanjinensis,Aporia fanjinensis
Aporia gigantea,
Aporia goutellei nitida,Aporia nitida
Aporia goutellei xanthina,Aporia xanthina
Aporia goutellei,"Pieris goutellei, Pieris melanochroa"
Aporia harrietae baileyi,Aporia baileyi
Aporia harrietae paracraea,"Pieris albivena, Metaporia paracraea"
Aporia harrietae,Metaporia harrietae
Aporia hastata,Pieris hastata
Aporia hippia crataegioides,Leuconea crataegioides
Aporia hippia japonica,Aporia japonica
Aporia hippia taupingi,Aporia taupingi
Aporia hippia thibetana,Aporia thibetana
Aporia hippia,"Pieris hippia, Aporia occidentalis, Aporia takamukuana"
Aporia howarthi,
Aporia joubini,Pieris joubini
Aporia kamei,
Aporia kanekoi,
Aporia largeteaui kuangtungensis,Aporia kuangtungensis
Aporia largeteaui pacifica,Aporia pacifica
Aporia largeteaui schmackeri,Aporia schmackeri
Aporia largeteaui,"Pieris largeteaui, Pieris brunnea, Aporia evittata"
Aporia larraldei kaolinkonensis,Aporia kaolinkonensis
Aporia larraldei melania,Pieris melania
Aporia larraldei nutans,Pieris nutans
Aporia larraldei shizuyai,Aporia shizuyai
Aporia larraldei,Pieris larraldei
Aporia lemoulti,"Metaporia lemoulti, Aporia morishitai"
Aporia leucodice aryana,Metaporia aryana
Aporia leucodice belucha,"Metaporia sorex, Pieris leechii, Aporia belucha"
Aporia leucodice debdice,Metaporia debdice
Aporia leucodice illumina,"Pieris illumina, Pieris nigroinspersa"
Aporia leucodice morosevitshae,"Metaporia illegiblata, Pieris morosevitshae"
Aporia leucodice sara,Aporia sara
Aporia leucodice soracta,"Pieris soracta, Aporia denigrata"
Aporia leucodice,"Pontia leucodice, Pieris altensis"
Aporia lhamo,Pieris lhamo
Aporia martineti konbogyandaensis,"Aporia konbogyandaensis, Aporia pallida"
Aporia martineti kreitneri,Pieris kreitneri
Aporia martineti,"Aporia stoetzneri, Pieris martineti"
Aporia monbeigi meiliensis,Aporia meiliensis
Aporia monbeigi,Pieris monbeigi
Aporia nabellica hesba,Aporia hesba
Aporia nabellica,"Aporia ferrari, Pieris nabellica"
Aporia nishimurai shinnooka,Aporia shinnooka
Aporia nishimurai,
Aporia oberthuri cinerea,Aporia cinerea
Aporia oberthuri,Metaporia saturata
Aporia peloria epsteina,Mesapia epsteina
Aporia peloria lama,"Mesapia tibetensis, Mesapia grayi, Aporia lama"
Aporia peloria minima,Mesapia minima
Aporia peloria wymanni,Mesapia wymanni
Aporia peloria,"Mesapia leechi, Pieris peloria"
Aporia potanini huanghaoi,Aporia huanghaoi
Aporia potanini intercostata,Aporia intercostata
Aporia potanini,"Aporia infernalis, Pieris alpherakyi"
Aporia procris draesekei,Metaporia draesekei
Aporia procris lancangica,Aporia lancangica
Aporia procris nyanchuensis,"Aporia nyanchuensis, Aporia kongpo"
Aporia procris sinensis,Metaporia sinensis
Aporia procris,"Pieris halisca, Pieris flavescens"
Aporia signiana,
Aporia tayiensis,
Aporia tsinglingica,"Aporia taibaishana, Pieris tsinglingica"
Aporia uedai,
Appias ada ardens,"Tachyris ella, Tachyris ardens"
Appias ada bandana,Tachyris bandana
Appias ada florentia,"Appias dunaetha, Appias herennia, Appias florentia"
Appias ada nerva,Appias nerva
Appias ada solis,Appias solis
Appias ada solstitialis,"Tachyris solstitialis, Tachyris monna, Tachyris ribbei, Tachyris vana"
Appias ada tenimberensis,"Appias tenimberensis, Appias saumlakiana"
Appias ada thasia,"Appias chorasina, Tachyris plotina, Tachyris thasia"
Appias ada virginea,Appias virginea
Appias ada xenia,Tachyris xenia
Appias ada,"Tachyris leucosticta, Appias caria, Tachyris cella, Appias cana, Appias tristitia, Pieris cilla, Tachyris clavis, Papilio ada"
Appias aegis aegina,Phrissura aegina
Appias aegis caepia,"Phrissura nivata, Phrissura caepia"
Appias aegis gerasa,Phrissura gerasa
Appias aegis illana,Pieris illana
Appias aegis polisma,Pieris polisma
Appias aegis sibutana,Appias sibutana
Appias aegis,"Pieris aegis, Phrissura aegis"
Appias albina agatha,"Tachyris agatha, Appias pancheia"
Appias albina ambigua,"Tachyris citronella, Tachyris umbratilis, Appias micromalayana, Appias citrina, Appias punctata, Appias subochracea, Appias virilis, Appias ambigua, Appias agathina, Appias hypoxantha, Appias mixta"
Appias albina darada,"Appias alcesta, Appias confusa, Pieris darada"
Appias albina infuscata,"Catophaga saweloides, Appias infuscata"
Appias albina pulverobasalis,Appias pulverobasalis
