Sample_ID,Voucher_ID ,Project_Code,Gene_Kit ,Voucher_Institution,Specimen_Provider ,Superfamily,Family,Subfamily,Tribe,Section,Genus,Species,Sub-Species,Valid_Name,Tissue_Type,Voucher_Type,Sex,Country,Province,Island,Locality,Latitude,Longitude,Elevation ,Collection_Date,Collection_Day,Collection_Month,Collection_Year,Collector,Specimen_Identified_by,Type_Species,Out_Group,Priority_level,Submission_Code,Submission_Date
HD-17-Q511,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,male,Indonesia,South Sulawesi,Sulawesi,Bantimurung,,,,,,May,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q512,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,East Nusa Tenggara,Timor,,,,,,,July,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q513,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,Jambi,Sumatra,Sungai Benu,,,,5/2/2017,2,May,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q514,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,Maluku,Kei Kecil,,,,,,,January,2015,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q515,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,West Kalimantan,Borneo,Mt. Bawang,,,,,,June,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q516,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,Maluku,Taliabu,,,,,,,November,2016,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q517,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,West Kalimantan,Borneo,Mt. Bawang,,,,,,June,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q518,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,West Nusa Tunggara,Sumba,,,,,,,June,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q519,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,Papua,Misool,,,,,,,August,2016,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q520,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,Central Sulawesi,Sulawesi,Palolo Palu,,,,,,April,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q521,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,Central Sulawesi,Sulawesi,Palolo Palu,,,,,,April,2017,,,,,,CCNY-BN-006,17-Dec-17
HD-17-Q522,,Hesp,,CCNY,David J. Lohman,Papilionoidea,Hesperiidae,,,,Hesperiidae,,,Hesperiidae ,,papered,,Indonesia,Maluku,Kei Kecil,,,,,,,April,2017,,,,,,CCNY-BN-006,17-Dec-17
