SampleID,VoucherID,ProjectCode,GeneKit,VoucherInstitution,SpecimenProvider,Superfamily,Family,Subfamily,Tribe,Section,Genus,Species,SubSpecies,UsrValidName,TissueType,VoucherType,Sex,Country,Province,Island(ifapplicable),Locality,Latitude,Longitude,Elevation,CollectionDate,CollectionDay,CollectionMonth,CollectionYear,Collector,SpecimenIdentifiedby,TypeSpecies,OutGroup,Prioritylevel,SubmissionCode,SubmissionDate,SheetName,Notes
48,48,Hesp,,,,Papilionoidea,Hesperiidae,,,,Pyroneura,latoia,latoia,Pyroneura latoia,,,Male,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,4. Aug. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
49,49,Hesp,,,,Papilionoidea,Hesperiidae,,,,Pyroneura,flavia,fruhstorferi,Pyroneura flavia,,,Male,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,4. Aug. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
50,50,Hesp,,,,Papilionoidea,Hesperiidae,,,,Caltoris,cormasa,,Caltoris cormasa,,,Male,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,4. Aug. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
51,51,Hesp,,,,Papilionoidea,Hesperiidae,,,,Hasora,taminatus,malayana,Hasora taminatus,,,Male,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,5. Aug. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
52,52,Hesp,,,,Papilionoidea,Hesperiidae,,,,Salanoemia,tavoyana,,Salanoemia tavoyana,,,Male,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,5. Aug. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
53,53,Hesp,,,,Papilionoidea,Hesperiidae,,,,Plastingia,pellonia,,Plastingia pellonia,,,Male,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,5. Aug. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
54,54,Hesp,,,,Papilionoidea,Hesperiidae,,,,Tagiades,vajuna,vajuna,Tagiades vajuna,,,Male,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,6. Aug. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
55,55,Hesp,,,,Papilionoidea,Hesperiidae,,,,Pyroneura,derna,,Pyroneura derna,,,Male,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,6. Aug. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
56,56,Hesp,,,,Papilionoidea,Hesperiidae,,,,Pyroneura,latoia,latoia,Pyroneura latoia,,,Male,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,31. Jul. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
57,57,Hesp,,,,Papilionoidea,Hesperiidae,,,,Salanoemia,sala,,Salanoemia sala,,,Female,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,8. Aug. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
